Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
"2021-04-15 17:43:41","60664768","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:42","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:43","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:44","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:45","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","16","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:46","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:47","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:48","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:49","60664912","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:50","60639184","0","0","0","1","0","1","0","99","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:51","60636248","0","0","0","1","0","0","0","99","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:52","60635096","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:53","60635604","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","13","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:54","60634988","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:55","60634988","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","17","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:56","60634484","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
