Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2021-04-15 17:42:51","60594484","35","0","0","0","491","1251","1","0","0","0","100","0","0","0","4482548","320548","283220","37328","0","0","0","0","9","108","3","33","131072","8587","66752","59845","8000","4565","316864","17920","0","14","1","0","32824","67","36","7446","0","2000",
"2021-04-15 17:42:52","60595312","35","0","0","0","491","1244","1","0","0","0","100","0","0","0","4482548","320548","283220","37328","0","0","0","0","9","108","2","33","131072","8587","66752","59845","8000","4565","316864","17920","0","14","1","0","32824","67","36","7446","0","0",
"2021-04-15 17:42:53","60595060","35","0","0","0","491","1244","1","0","0","0","100","0","0","0","4482548","320548","283220","37328","0","0","0","0","9","108","2","33","131072","8587","66752","59845","8000","4565","316864","17920","0","14","1","0","32824","67","36","7446","0","0",
"2021-04-15 17:42:54","60634152","35","0","0","0","491","1243","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","2000",
"2021-04-15 17:42:55","60634388","35","0","0","0","491","1243","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","112","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:42:56","60634356","35","0","0","0","491","1243","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:42:57","60658824","35","0","0","0","491","1250","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:42:58","60658824","35","0","0","0","491","1250","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:42:59","60658888","35","0","0","0","491","1244","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:00","60661928","35","0","0","0","491","1255","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:01","60661928","35","0","0","0","491","1255","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:02","60661932","35","0","0","0","491","1254","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:03","60661928","35","0","0","0","491","1254","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:04","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:05","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","112","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:06","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:07","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:08","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:09","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:10","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:11","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:12","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:13","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:14","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:15","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","112","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:16","60661928","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:17","60661928","35","0","0","0","491","1253","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:18","60661740","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:19","60661740","35","0","0","0","491","1253","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:20","60661740","35","0","0","0","491","1253","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:21","60661740","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:22","60661740","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:23","60661740","35","0","0","0","491","1253","8","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:24","60661740","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:25","60661740","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","111","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:26","60661740","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:27","60661472","35","0","0","0","491","1253","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:28","60661476","35","0","0","0","491","1253","2","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:29","60661476","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
"2021-04-15 17:43:30","60661476","35","0","0","0","491","1246","1","0","0","0","100","0","0","0","4482548","297560","260232","37328","0","0","0","0","9","108","2","33","131072","8229","43584","38314","4800","3037","145344","17920","0","14","1","0","32824","62","36","5446","0","0",
